trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.997}",25,0,-117.24531465468094,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.994}",25,0,-53.20535689203213,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.9, 'e': 0.991}",25,0,-127.03314246010635,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.988}",30,0,-179.2831709931364,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.9, 'e': 0.985}",20,11,1.5172546171012955,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.9, 'e': 0.982}",25,0,-111.64155712500606,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.979}",20,0,-147.71228572336665,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.9, 'e': 0.976}",20,0,-194.3638020456728,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.973}",20,0,-61.7344394796948,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.97}",20,0,-98.1574746702245,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.967}",20,0,-55.536535759891805,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.964}",20,9,-90.31102283703648,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 1}",1
13,False,"{'a': 0.9, 'e': 0.961}",35,13,-108.21346454657655,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 2}",1
14,False,"{'a': 0.9, 'e': 0.958}",20,0,-87.86691803104141,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.955}",25,0,-201.95097218209324,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 5}",0
16,False,"{'a': 0.9, 'e': 0.952}",25,0,-172.76670418322078,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.949}",25,0,-185.89089513903065,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
18,False,"{'a': 0.9, 'e': 0.946}",20,0,-203.45022451937774,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
19,False,"{'a': 0.9, 'e': 0.943}",20,0,-80.9694172261613,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.94}",25,0,-146.4207432216626,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.9, 'e': 0.9369999999999999}",25,0,-90.96805681266149,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
